id;idManufacturer;title;description;isActual;isSale
;Производитель;Артикул товара;Полное наименование;актуальный;в продаже
405;1;225838;Шуруп самосверлящий 5,5X45 А2;1;1
406;1;225839;Шуруп с шестигранной головкой  8х40 (Глухарь);1;1
407;1;225840;Шуруп для бетона с шестигранной головкой 10х60;1;1
408;1;225841;Винт самосверлящий кровельный 5,5х25 с шестигранной головкой и резиновой прокладкой;1;1
409;1;225842;Винт М5*20 DIN7985;1;1
410;1;225843;Шуруп для бетона 7,5х60 мм;1;1
411;1;230900;Кабельный крюк СЭ-7 ПА d38 ;1;1
412;1;230901;Кабельный крюк СЭ-7 ПА d80 ;1;1
413;1;230902;Крепление кабельного крюка СЭ-7 ПА  К2 ;1;1
414;1;230903;Кабельный крюк СЭ-7 ПА d7 ;1;1
415;1;230904;Кабельный крюк СЭ-7 ПА d18 ;1;1
416;1;230905;Кабельный крюк СЭ-7 ПА d28 ;1;1
417;1;230906;Кабельный крюк СЭ-7 ПА d50;1;1
418;1;230907;Кабельный крюк СЭ-7 ПА d68;1;1
419;1;230908;Кабельный крюк СЭ-7 ПА d100;1;1
420;1;230909;Кабельный крюк СЭ-7 ПА d110;1;1
421;1;230910;Адаптер для крепления СЭ-7 К-1 ПА ;1;1
422;1;237564;Шайба-гровер М10;1;1
423;1;237565;Анкерная шпилька V-A 12-10/135 оцинк;1;1
424;1;237566;Анкерная шпилька V-A 16-85/230 оцинк;1;1
425;1;237607;Уплотнительная лента SKL 15х5, 10 м/рулон ;1;1
426;1;237608;Уплотнитель виброизоляционный (виброгасящий вкладыш) 41;1;1
427;1;238453;Болт шестигранный М6*80;1;1
